slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
aleph-cloud-block-storage,Aleph Cloud,,"[""[Website](https://aleph.cloud/)""]",Storage,"[""Decentralized Cloud Computing""]",up to $0.0033,Pay-As-You-Go,,"It leverages advanced cryptography and hardware-based attestation to provide verifiable security, supporting enterprise-grade compliance for industries such as finance, gaming, and AI",FALSE
aleph-cloud-enterprise,Aleph Cloud,,"[""[Website](https://aleph.cloud/)""]",Storage,"[""Decentralized Cloud Computing""]",Custom,Enterprise,,"It leverages advanced cryptography and hardware-based attestation to provide verifiable security, supporting enterprise-grade compliance for industries such as finance, gaming, and AI",FALSE
aleph-cloud-gpu-cloud,Aleph Cloud,,"[""[Website](https://aleph.cloud/)""]",Storage,"[""Decentralized Cloud Computing""]",up to $0.055/h,Pay-As-You-Go,,"It leverages advanced cryptography and hardware-based attestation to provide verifiable security, supporting enterprise-grade compliance for industries such as finance, gaming, and AI",FALSE
aleph-cloud-vps,Aleph Cloud,,"[""[Website](https://aleph.cloud/)""]",Storage,"[""Decentralized Cloud Computing""]",up to $0.0143/h,Pay-As-You-Go,,"It leverages advanced cryptography and hardware-based attestation to provide verifiable security, supporting enterprise-grade compliance for industries such as finance, gaming, and AI",FALSE
arweave,Arweave,,"[""[Website](https://arweave.org/)"",""[Docs](https://docs.arweave.org/developers)""]",Storage,"[""Permanent storage"",""Decentralized""]",Custom,Pay-As-You-Go,,Permanent decentralized data storage protocol using a blockchain structure to incentivize indefinite storage of data,FALSE
filebase-enterprise,Filebase,,"[""[Website](https://filebase.com/pricing/)""]",Storage,"[""Smart storage""]",Custom,Enterprise,,"It is a managed object-storage service built on Google Cloud Storage that lets you upload, store, and serve user-generated files (images, videos, documents, etc.) in Firebase-powered apps",FALSE
filebase-free,Filebase,,"[""[Website](https://filebase.com/pricing/)""]",Storage,"[""Smart storage""]",$0,Free,,"It is a managed object-storage service built on Google Cloud Storage that lets you upload, store, and serve user-generated files (images, videos, documents, etc.) in Firebase-powered apps",FALSE
filebase-pro,Filebase,,"[""[Website](https://filebase.com/pricing/)""]",Storage,"[""Smart storage""]",$100/mo,Tiered,Pro,"It is a managed object-storage service built on Google Cloud Storage that lets you upload, store, and serve user-generated files (images, videos, documents, etc.) in Firebase-powered apps",FALSE
filebase-starter,Filebase,,"[""[Website](https://filebase.com/pricing/)""]",Storage,"[""Smart storage""]",$20/mo,Tiered,Starter,"It is a managed object-storage service built on Google Cloud Storage that lets you upload, store, and serve user-generated files (images, videos, documents, etc.) in Firebase-powered apps",FALSE
filebase-unlimited,Filebase,,"[""[Website](https://filebase.com/pricing/)""]",Storage,"[""Smart storage""]",$500/mo,Tiered,Unlimited,"It is a managed object-storage service built on Google Cloud Storage that lets you upload, store, and serve user-generated files (images, videos, documents, etc.) in Firebase-powered apps",FALSE
irys,Irys,,"[""[Website](https://irys.xyz/)"",""[Docs](https://docs.irys.xyz/)""]",Storage,"[""Arweave"",""Permanent storage"",""Data provenance"",""Pay-per-use""]",Custom,Pay-As-You-Go,,"Programmable datachain enabling permanent on-chain data storage with verifiable provenance and instant access, designed for AI and large-scale data applications",FALSE
lighthouse,Lighthouse,,"[""[Website](https://www.lighthouse.storage/)"",""[Docs](https://docs.lighthouse.storage/)""]",Storage,"[""IPFS"",""Filecoin"",""Encryption"",""Permanent storage""]",$0,Freemium,,"Permanent decentralized storage powered by IPFS and Filecoin with a free 5 GB tier, encryption, token-gated access control, and dedicated IPFS gateways",FALSE
pinata-enterprise,Pinata,,"[""[Contact](https://pinata.cloud/pricing)"",""[Docs](https://docs.pinata.cloud/)""]",Storage,"[""IPFS"",""Pinning service""]",Custom,Enterprise,,"IPFS pinning and file storage service trusted by 600,000+ developers with plans from free to enterprise",FALSE
pinata-fiesta,Pinata,,"[""[Buy](https://pinata.cloud/pricing)"",""[Docs](https://docs.pinata.cloud/)""]",Storage,"[""IPFS"",""Pinning service""]",$100/mo,Tiered,Fiesta,"IPFS pinning and file storage service trusted by 600,000+ developers with plans from free to enterprise",FALSE
pinata-free,Pinata,,"[""[Website](https://pinata.cloud/)"",""[Docs](https://docs.pinata.cloud/)""]",Storage,"[""IPFS"",""Pinning service""]",$0,Free,,"IPFS pinning and file storage service trusted by 600,000+ developers with plans from free to enterprise",FALSE
pinata-picnic,Pinata,,"[""[Buy](https://pinata.cloud/pricing)"",""[Docs](https://docs.pinata.cloud/)""]",Storage,"[""IPFS"",""Pinning service""]",$20/mo,Tiered,Picnic,"IPFS pinning and file storage service trusted by 600,000+ developers with plans from free to enterprise",FALSE
storacha-extra-spicy,Storacha,,"[""[Website](https://storacha.network/)"",""[Docs](https://docs.storacha.network/)""]",Storage,"[""IPFS"",""Filecoin"",""Decentralized"",""Hot storage""]",$100/mo,Tiered,Extra Spicy,"Decentralized hot storage network built on IPFS and Filecoin with petabyte-scale throughput and verifiable content-addressed data, evolved from web3.storage",FALSE
storacha-medium,Storacha,,"[""[Website](https://storacha.network/)"",""[Docs](https://docs.storacha.network/)""]",Storage,"[""IPFS"",""Filecoin"",""Decentralized"",""Hot storage""]",$10/mo,Tiered,Medium,"Decentralized hot storage network built on IPFS and Filecoin with petabyte-scale throughput and verifiable content-addressed data, evolved from web3.storage",FALSE
storacha-mild,Storacha,,"[""[Website](https://storacha.network/)"",""[Docs](https://docs.storacha.network/)""]",Storage,"[""IPFS"",""Filecoin"",""Decentralized"",""Hot storage""]",$0,Free,Mild,"Decentralized hot storage network built on IPFS and Filecoin with petabyte-scale throughput and verifiable content-addressed data, evolved from web3.storage",FALSE
storj-archive,Storj,,"[""[Website](https://www.storj.io/pricing)""]",Storage,"[""Storage-node"",""Docker""]",$6/TB,Tiered,Archive,"It is a distributed cloud service that transforms traditional cloud services, unlocking powerful advantages for fast, global data workflows",FALSE
storj-global,Storj,,"[""[Website](https://www.storj.io/pricing)""]",Storage,"[""Storage-node"",""Docker""]",$15/TB,Tiered,Global,"It is a distributed cloud service that transforms traditional cloud services, unlocking powerful advantages for fast, global data workflows",FALSE
storj-regional,Storj,,"[""[Website](https://www.storj.io/pricing)""]",Storage,"[""Storage-node"",""Docker""]",$10/TB,Tiered,Regional,"It is a distributed cloud service that transforms traditional cloud services, unlocking powerful advantages for fast, global data workflows",FALSE
swarm,Swarm,,"[""[Website](https://www.ethswarm.org/)"",""[Docs](https://docs.ethswarm.org/docs/)""]",Storage,"[""Decentralized"",""P2P storage""]",Custom,Pay-As-You-Go,,"Decentralized P2P storage and communication infrastructure for building censorship-resistant serverless dapps",FALSE
zeeve-build,Zeeve,,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",Storage,"[""Distributed File System""]",$199/mo,Tiered,Build,"It provides the most secure, easy-to-use, and easily integrable decentralized storage service",FALSE
zeeve-enterprise,Zeeve,,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",Storage,"[""Distributed File System""]",Custom,Enterprise,,"It provides the most secure, easy-to-use, and easily integrable decentralized storage service",FALSE
zeeve-free,Zeeve,,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",Storage,"[""Distributed File System""]",$0,Free,,"It provides the most secure, easy-to-use, and easily integrable decentralized storage service",FALSE
zeeve-growth,Zeeve,,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",Storage,"[""Distributed File System""]",$999/mo,Tiered,Growth,"It provides the most secure, easy-to-use, and easily integrable decentralized storage service",FALSE
zeeve-launch,Zeeve,,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",Storage,"[""Distributed File System""]",$20/mo,Tiered,Launch,"It provides the most secure, easy-to-use, and easily integrable decentralized storage service",FALSE
